"Source:","C:\Users\rubenelportero\Desktop\Making Devices\Projects\Bytes Counter\v1\Kicad\BytesCounter\BytesCounter.sch"
"Date:","19/08/2022 09:49:35"
"Tool:","Eeschema (5.1.12-1-g0a0a2da680)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","34"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Allied_Number","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS Part Number","RS Price/Stock"
"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Allied_Number","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS Part Number","RS Price/Stock"
"1","3","C1, C2, C3","100nF","BytesCounter-rescue:GCG21BR71H154KA01K-SamacSys_Parts","CAPC2012X145N","https://psearch.en.murata.com/capacitor/product/GCG21BR71H154KA01%23.html","","Capacitor L=2.0mm W=1.25mm T=1.25mm","1.45","Murata Electronics","GCG21BR71H154KA01K","","","",""
"2","2","D1, D2","ZLLS410TA","Library_Loader:ZLLS410TA","SOD2513X120N","http://uk.rs-online.com/web/p/products/7515203P","","Diodes Inc ZLLS410TA, SMT Schottky Diode, 10V 750mA, 3ns, 2-Pin SOD-323","1.2","Diodes Inc.","ZLLS410TA","","","7515203P","http://uk.rs-online.com/web/p/products/7515203P"
"3","1","IC1","PIC18LF14K50-I_SO","BytesCounter-rescue:PIC18LF14K50-I_SO-SamacSys_Parts","Package_SO:SSOP-20_5.3x7.2mm_P0.65mm","http://uk.rs-online.com/web/p/products/6669239P","70047097","MCU 16K Flash 768 RAM USB 2.0 SOIC20","2.65","Microchip","PIC18LF14K50-I/SO","","","6669239P","http://uk.rs-online.com/web/p/products/6669239P"
"4","1","J1","TC2030-MCP-NL","Library_Loader:TC2030-MCP-NL","TC2030-MCP-NL","http://uk.rs-online.com/web/p/products/8252561","","TC2030-MCP-NL PCB Footprint (no legs)","","Microchip","TC2030-MCP-NL","","","8252561","http://uk.rs-online.com/web/p/products/8252561"
"5","1","LED1","LTST-C171GKT","BytesCounter-rescue:LTST-C171GKT-SamacSys_Parts","LEDC2012X90N","http://uk.rs-online.com/web/p/products/6920935P","","Lite-On LTST-C171GKT, CHIPLED 0805 569 nm Green LED, 2012 (0805) SMD package","0.9","Lite-On","LTST-C171GKT","","","6920935P","http://uk.rs-online.com/web/p/products/6920935P"
"6","1","LS1","TMB12A05","BytesCounter-rescue:TMB12A05-SamacSys_Parts","TMB12A05","https://datasheet.lcsc.com/szlcsc/Jiangsu-Huaneng-Elec-TMB12A05_C96093.pdf","","12*9.5 Buzzers RoHS","9.5","Jiangsu Huaneng Elec","TMB12A05","","","",""
"7","5","Q1, Q2, Q3, Q4, Q5","SMMBT5551LT1G","BytesCounter-rescue:SMMBT5551LT1G-SamacSys_Parts","SOT96P237X111-3N","http://uk.rs-online.com/web/p/products/1841498P","70300580","NPN Bipolar Transistor, 600 mA 160 V, 3-pin SOT-23","1.11","ON Semiconductor","SMMBT5551LT1G","","","1841498P","http://uk.rs-online.com/web/p/products/1841498P"
"8","5","R1, R5, R7, R9, R13","4k7","BytesCounter-rescue:KTR10EZPF4220-SamacSys_Parts","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"9","5","R2, R11, R12, R15, R16","10k","BytesCounter-rescue:KTR10EZPF4220-SamacSys_Parts","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"10","2","R3, R14","220","BytesCounter-rescue:KTR10EZPF4220-SamacSys_Parts","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"11","4","R4, R6, R8, R10","100","BytesCounter-rescue:KTR10EZPF4220-SamacSys_Parts","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"12","2","S1, S2","B3F-4050-SamacSys_Parts","BytesCounter-rescue:B3F-4050-SamacSys_Parts-HVolt_sub-system-FIT","B3F-4000","https://www.omron.com/ecb/products/pdf/en-b3f.pdf","","lvory Plunger Tactile Switch, SPST-NO 0.05 A@ 24 V dc 3mm","","Omron Electronics","B3F-4050","653-B3F-4050","https://www.mouser.com/Search/Refine.aspx?Keyword=653-B3F-4050","6866768P","http://uk.rs-online.com/web/p/products/6866768P"
"13","1","U1","CC56-12EWA","Display_Character:CC56-12EWA","Display_7Segment:CA56-12EWA","http://www.kingbrightusa.com/images/catalog/SPEC/CA56-12EWA.pdf","","","","","","","","",""
"14","1","U2","CH075-2032","BytesCounter-rescue:CH075-2032-SamacSys_Parts","CH0752032","","","RS Pro Battery Holder","6.6","RS Components","CH075-2032","","","",""
